"","Mu_c","Mu_ML","Sigma_c","Sigma_ML","H_c","H_ML","Alpha_c","Q_Stat","Mean","Sd"
"827",-1.04006549911058,-0.994782993962566,0.757061554186212,0.750786027351021,0.857475589697398,0.89889430437501,2.00021676007318,-0.929384974944888,-1.03988829560752,0.865520711575189
"828",0.860081558660539,1.0522931266332,0.970295984885688,0.995972101345574,0.881548926248203,0.912797440864843,1.99797986197331,0.853586340878704,0.866535176678167,0.980788998155836
"829",-0.439627527589752,-0.41593358320674,0.76188406564882,0.768316820095048,0.872681333128407,0.880207535986381,1.99956982501181,-0.936148453688854,-0.437143883073168,0.876499326188576
"830",0.111508399145378,0.016372794021339,0.816717493532047,0.818935844584067,0.856314423214208,0.893570562911388,2.00035006157099,0.613242446959898,0.111831552815104,0.900126982289579
"831",0.167712363122968,0.149772074844026,0.842792607944231,0.850543029442121,0.888681173110912,0.910610589892836,1.99987078645214,-1.80464788273447,0.168312124841608,0.922293124929572
"832",0.0985021806819415,0.11385772103765,0.692294655689127,0.681956396438244,0.822077663697692,0.874586061408567,1.99982718527134,0.314892083045689,0.0962601117193278,0.825825474565749
"833",-0.697324017743696,-0.717736269228964,0.756674246339325,0.75205845058315,0.842193598550798,0.880736294587237,1.99964649824788,1.50761104212702,-0.700475653001682,0.867258087310581
"834",-0.193200629010029,-0.170261082012776,0.901882166933563,0.903111924865811,0.885395026443116,0.915851895315865,2.00038669663062,0.509223584078951,-0.186425417062456,0.950422164242477
"835",-0.00733386946884594,-0.0703063487567513,0.793395544272095,0.807659086595702,0.885513774782826,0.879482838385427,1.99956038673761,0.137252478520579,-0.00475776848618945,0.896529058311226
"836",-0.0453944381701135,-0.0453267484397424,0.744207158085327,0.740897306786269,0.84866056502977,0.881298598901558,1.99921626770761,1.19911533352765,-0.0453782382427332,0.860969185339476
"837",-0.0741411534574878,-0.0105168380455482,0.735844730317648,0.726957475519165,0.84178672214255,0.894590118675488,1.9984813841658,-0.285292001144505,-0.0726844373058056,0.850561221969083
"838",-0.367410552212538,-0.324107173396717,0.672496767604353,0.665601514035545,0.837142830448619,0.888189943379143,2.00130317280302,-1.20641912541474,-0.366902924778172,0.814924590832559
